Original Cell Type Name,Standardized Celltype Name
CD8_Memory_Primary_Cells,CD8_Memory_Primary_Cells
CD8_Naive_Primary_Cells,CD8_Naive_Primary_Cells
CEM_C1_Lymphoblast,CEM_C1_Lymphoblast
Cerebellum,Cerebellum
CFPAC-1,CFPAC-1
CFPAC-1_Epithelium_Pancreas,CFPAC-1
CFPAC-1_original_PDAC_cell_line_Pancreatic_ductal,CFPAC-1
CFPAC-1_Pancreatic_ductal,CFPAC-1
CHL-1_melanoma_Skin,CHL-1_melanoma_Skin
chondroblastoma,Chondroblastoma
Chondrocyte_Cartilage,Chondrocyte_Cartilage
Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,Chondrocytes_from_Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells
Chorion,Chorion
CHP-134,CHP-134
CHP-212_Neuroblastoma_cell,CHP-212_Neuroblastoma_cell
chromosome_duplication_model_of_Dup15q_syndrome,chromosome_duplication_model_of_Dup15q_syndrome
Cingulate_Gyrus,Cingulate_Gyrus
CJM_Melanoma_Cell,CJM_Melanoma_Cell
CLB-Ga_Neuroblastoma_cell,CLB-Ga_Neuroblastoma_cell
Clear_cell_renal_cell_carcinoma_tumor,Clear_cell_renal_cell_carcinoma_tumor
CLL,CLL
CM-10_Snap-frozen_tissue,CM-10_Snap-frozen_tissue
CM-11_Snap-frozen_tissue,CM-11_Snap-frozen_tissue
CM-12_Snap-frozen_tissue,CM-12_Snap-frozen_tissue
CM-13_Snap-frozen_tissue,CM-13_Snap-frozen_tissue
CM-14_Snap-frozen_tissue,CM-14_Snap-frozen_tissue
CMK,CMK_Megakaryocyte_Blood
CMK_Megakaryocyte_Blood,CMK_Megakaryocyte_Blood
COLO_205,COLO_205_Colon
COLO_205_Colon,COLO_205_Colon
COLO_679_Melanoma_Cell,COLO_679_Melanoma_Cell
Colo-205_Colon_cancer_cell_Colon,COLO-205_Colon_cancer_cell_Colon
COLO-320,COLO-320_Colorectal_cancer_cell_line
COLO-320_Colorectal_cancer_cell_line,COLO-320_Colorectal_cancer_cell_line
COLO-320_Epithelium_Colon,COLO-320_Epithelium_Colon
COLO-741,COLO-741_Epithelium_Colon
COLO-741_Epithelium_Colon,COLO-741_Epithelium_Colon
COLO-829,COLO-829_Fibroblast_Skin
COLO-829_Fibroblast_Skin,COLO-829_Fibroblast_Skin
Colon,Colon
Colon_Crypt,Colon_Crypt
Colon_Smooth_Muscle,Colon_Smooth_Muscle
Colonic_Mucosa,Colonic_Mucosa
colorectal_adenocarcinoma_Colon,Colorectal_Adenocarcinoma
Colorectal_cancer_cell_line,Colorectal_cancer_cell_line
Colorectal_cancer_cell_line_Lung,Colorectal_cancer_cell_line_Lung
Cord_blood,Cord_blood
Coronary_artery_smooth_muscle,Coronary_artery_smooth_muscle
Cortex,Cortex
Cortex_Brain,Cortex_Brain
Cortex_Cerebellum,Cortex_Cerebellum
Cortex_Embryonic_Kidney,Cortex_Embryonic_Kidney
Cortex_Fetal_Kidney,Cortex_Fetal_Kidney
Cortex_Fetal_Kidney_Left,Cortex_Fetal_Kidney_Left
Cortex_Fetal_Kidney_Right,Cortex_Fetal_Kidney_Right
Cortex_Globus_Pallidus,Cortex_Globus_Pallidus
Cortex_Kidney,Cortex_Kidney
Cortex_Prefrontal,Cortex_Prefrontal
Cortical_Neuron,Cortical_Neuron
CTR_rhabdomyosarcoma,CTR_rhabdomyosarcoma
CUTLL1_T_Lymphocyte_Blood,CUTLL1_T_Lymphocyte_Blood
CWR22Pc_Epithelium_Prostate,CWR22Pc_Epithelium_Prostate
CyT49_Embryonic_Stem_Cell_Embryo,CyT49_Embryonic_Stem_Cell_Embryo
D-341,D-341
D-341_Brain,D-341
D-341_Medulloblastoma_Cerebellum,D-341
D1_ORL_UVA_Hepatocyte,D1_ORL_UVA_Hepatocyte
D283_Med,D283_Med_Medulloblastoma_Cerebellum
D283_Med_Medulloblastoma_Cerebellum,D283_Med_Medulloblastoma_Cerebellum
Daoy_Polygonal_Cerebellum,Daoy_Polygonal_Cerebellum
Delta47,Delta47
Dendritic_Cell,Dendritic_Cell
Dendritic_Cell_Blood,Dendritic_Cell_Blood
Dendritic_Cell_Cord_blood,Dendritic_Cell_Cord_blood
Detroit_562_Detroit_562_cells,Detroit_562_Detroit_562_cells
